Analysis no.,Stat. pos.,Eruption,controlcode_old,controlcode,Epoch,Analysis label,Date of analysis,NA2O,MGO,AL2O3,SIO2,K2O,CAO,TIO2,MNO,FEO,P2O5,Cl,F,Total
429,49,AMS,6,2,three,51a_5,190609,4.11,0.79,18.36,58.82,8.91,2.80,0.45,0.06,3.85,1817,6055,1070,99.04
430,49,AMS,6,2,three,51a_4,190609,4.02,0.68,18.49,59.18,8.82,2.65,0.53,0.13,3.45,2012,5984,921,98.85
431,49,AMS,6,2,three,51a_3,190609,4.24,0.74,18.58,58.87,8.89,2.93,0.47,0.10,3.72,1897,6531,946,99.48
432,49,AMS,6,2,three,51a_2,190609,3.98,0.81,18.33,58.89,8.81,2.86,0.49,0.08,3.71,1960,5359,385,98.72
433,49,AMS,6,2,three,51a_1,190609,3.91,0.74,18.51,59.11,9.00,2.67,0.49,0.15,3.72,1849,5285,98,99.03
434,49,AMS,6,2,three,56_17,190609,4.25,0.75,18.35,58.59,8.73,2.55,0.51,0.18,3.74,2130,6245,373,98.54
435,49,AMS,6,2,three,56_16,190609,3.96,1.05,18.19,58.61,8.68,3.12,0.50,0.13,3.85,1566,6644,804,98.98
436,49,AMS,6,2,three,56_15,190609,4.19,0.88,18.45,58.17,8.77,2.76,0.51,0.12,3.79,2143,6455,0,98.49
437,49,AMS,6,2,three,56_14,190609,4.24,0.67,18.37,58.95,8.67,2.74,0.49,0.13,3.82,1651,6606,674,98.97
438,49,AMS,6,2,three,56_13,190609,3.92,0.71,18.08,59.01,8.95,2.63,0.47,0.11,3.57,1885,6430,1055,98.40
439,49,AMS,6,2,three,56_11,190609,4.13,0.72,18.23,59.11,9.16,2.62,0.49,0.11,3.45,1734,7108,675,98.97
440,49,AMS,6,2,three,56_10,190609,4.05,0.64,18.20,59.07,8.97,2.52,0.46,0.18,3.48,1628,7259,1198,98.58
441,49,AMS,6,2,three,56_9,190609,4.34,0.61,18.39,59.21,9.11,2.30,0.49,0.06,3.44,1849,4796,551,98.67
442,49,AMS,6,2,three,56_6,190609,4.23,0.82,18.33,59.02,8.56,2.70,0.50,0.12,3.78,2003,6039,812,98.93
443,49,AMS,6,2,three,56_4,190609,3.94,0.60,18.25,59.75,9.01,2.48,0.41,0.04,3.29,1937,5298,189,98.51
444,49,AMS,6,2,three,56_3,190609,4.22,0.67,18.28,59.26,8.98,2.63,0.54,0.17,3.85,1660,6186,936,99.48
445,49,AMS,6,2,three,56_1,190609,4.41,0.71,18.33,59.68,8.94,2.63,0.48,0.21,3.62,1439,6305,1039,99.89
446,49,AMS,6,2,three,54_15,190609,4.02,0.77,18.56,59.37,8.74,2.69,0.49,0.07,3.87,1855,6272,1051,99.50
447,49,AMS,6,2,three,54_14,190609,3.68,0.72,18.05,58.06,8.73,2.55,0.47,0.09,3.66,1693,6739,995,96.94
448,49,AMS,6,2,three,54_13,190609,4.14,0.73,18.48,60.26,8.94,2.79,0.50,0.14,3.81,1881,7172,83,100.69
449,49,AMS,6,2,three,54_12,190609,3.77,0.54,17.51,56.59,8.39,2.46,0.46,0.17,3.14,884,7078,690,93.89
450,49,AMS,6,2,three,54_8,190609,4.03,0.52,18.82,59.68,9.47,2.69,0.46,0.07,3.16,1213,7076,1011,99.83
451,49,AMS,6,2,three,54_7,190609,3.34,0.71,16.75,54.61,8.14,2.88,0.42,0.12,3.63,1553,5913,721,91.42
452,49,AMS,6,2,three,54_6,190609,3.84,0.88,18.67,59.40,9.28,2.87,0.44,0.11,3.98,2152,6010,967,100.38
453,49,AMS,6,2,three,54_5,190609,3.99,0.86,18.53,59.54,8.88,2.85,0.49,0.12,3.93,1762,6339,1289,100.13
454,49,AMS,6,2,three,54_4,190609,3.62,0.81,17.67,56.72,8.41,2.82,0.40,0.17,3.48,1932,6287,658,95.01
455,49,AMS,6,2,three,54_1,190609,3.45,0.69,17.37,56.17,8.19,2.55,0.42,0.12,3.48,1514,6660,311,93.30
456,49,AMS,6,2,three,53_20,210609,4.34,0.55,18.55,59.90,8.86,2.44,0.52,0.12,3.41,1159,6619,1726,99.64
457,49,AMS,6,2,three,53_19,210609,4.32,0.56,17.70,58.29,8.55,2.76,0.48,0.12,3.31,1036,6044,566,96.85
458,49,AMS,6,2,three,53_17,210609,4.12,0.60,18.60,59.62,9.39,2.26,0.42,0.14,3.37,1331,6198,1032,99.37
459,49,AMS,6,2,three,53_16,210609,3.82,0.71,18.36,59.12,9.05,2.54,0.42,0.12,3.57,1161,5372,167,98.38
460,49,AMS,6,2,three,53_15,210609,3.64,0.76,18.47,59.35,9.44,2.53,0.42,0.15,3.69,1788,5220,912,99.24
461,49,AMS,6,2,three,53_14,210609,3.89,0.72,17.58,57.02,8.43,2.29,0.48,0.06,3.37,1295,5635,1252,94.66
462,49,AMS,6,2,three,53_13,210609,3.96,0.77,18.51,59.41,9.16,2.67,0.52,0.12,3.68,1406,5359,578,99.54
463,49,AMS,6,2,three,53_11,210609,4.21,0.78,18.61,59.36,8.54,3.09,0.48,0.12,3.82,1809,5270,452,99.77
464,49,AMS,6,2,three,53_10,210609,4.30,0.57,18.59,59.99,8.82,2.32,0.43,0.16,3.19,1301,6327,1180,99.25
465,49,AMS,6,2,three,53_9,210609,4.37,0.50,18.60,60.28,9.00,2.37,0.43,0.13,3.22,997,6485,1209,99.78
466,49,AMS,6,2,three,53_7,210609,4.25,0.55,17.71,58.40,8.63,2.42,0.51,0.14,3.32,1142,5903,1148,96.75
467,49,AMS,6,2,three,53_6,210609,4.26,0.53,17.65,57.64,8.71,2.30,0.47,0.17,3.46,964,6294,1821,96.11
468,49,AMS,6,2,three,53_5,210609,3.93,0.51,17.33,57.10,8.45,2.60,0.42,0.10,3.08,1501,6338,1574,94.47
469,49,AMS,6,2,three,53_3,210609,4.07,0.54,17.69,58.02,8.45,2.38,0.54,0.13,3.04,1403,6220,890,95.71
470,49,AMS,6,2,three,53_2,210609,4.22,0.51,17.47,58.04,8.40,2.29,0.45,0.15,3.34,1034,6555,248,95.64
471,49,AMS,6,2,three,53_1,210609,4.11,0.53,17.07,57.77,8.45,2.18,0.37,0.11,3.06,916,6886,301,94.45
472,49,AMS,6,2,three,CF52_1,130809,5.13,0.44,17.76,60.05,7.89,2.08,0.54,0.14,3.32,,,,97.34
473,49,AMS,6,2,three,CF52_2,130809,5.04,0.51,18.27,59.68,8.17,2.16,0.42,0.16,3.01,,,,97.44
474,49,AMS,6,2,three,CF52_3,130809,4.33,0.68,18.32,58.97,8.54,2.41,0.44,0.24,3.56,,,,97.50
475,49,AMS,6,2,three,CF52_4,130809,4.15,0.66,17.31,56.67,7.64,2.28,0.44,0.08,3.36,,,,92.58
476,49,AMS,6,2,three,CF52_5,130809,3.84,0.67,17.51,56.87,8.35,2.37,0.44,0.16,3.21,,,,93.42
477,49,AMS,6,2,three,CF52_6,130809,3.84,0.51,17.69,55.73,8.21,2.32,0.46,0.12,3.33,,,,92.20
478,49,AMS,6,2,three,CF52_7,130809,4.20,0.72,17.51,57.19,8.04,2.49,0.46,0.12,3.75,,,,94.48
479,49,AMS,6,2,three,VF1-4-19,310509,4.18,0.59,17.07,57.08,8.24,2.09,0.42,0.18,3.08,,,,92.92
480,49,AMS,6,2,three,VF1-4-18,310509,4.14,0.64,17.76,58.40,8.12,2.25,0.47,0.18,3.25,,,,95.20
481,49,AMS,6,2,three,VF1-4-16,310509,4.75,0.52,17.85,59.63,8.07,2.09,0.41,0.15,3.17,,,,96.64
482,49,AMS,6,2,three,VF1-4-15,310509,4.33,0.53,18.12,59.36,8.64,2.17,0.40,0.16,3.05,,,,96.78
483,49,AMS,6,2,three,VF1-4-14,310509,3.91,0.45,16.98,57.59,8.32,2.09,0.39,0.14,3.24,,,,93.11
484,49,AMS,6,2,three,VF1-4-13,310509,4.25,0.57,16.97,56.37,7.84,2.20,0.39,0.15,3.41,,,,92.15
485,49,AMS,6,2,three,VF1-4-12,310509,4.57,0.62,17.98,58.39,8.23,2.23,0.45,0.14,3.30,,,,95.91
486,49,AMS,6,2,three,VF1-4-11,310509,4.54,0.54,17.45,56.62,8.03,2.28,0.44,0.10,3.19,,,,93.20
487,49,AMS,6,2,three,VF1-4-10,310509,4.26,0.59,17.28,56.44,8.06,2.19,0.44,0.13,3.17,,,,92.55
488,49,AMS,6,2,three,VF1-4-9,310509,4.52,0.65,17.44,57.05,7.90,2.22,0.41,0.08,3.18,,,,93.44
489,49,AMS,6,2,three,VF1-4-8,310509,4.33,0.63,16.98,56.08,8.15,2.42,0.46,0.09,3.16,,,,92.29
490,49,AMS,6,2,three,VF1-4-7,310509,4.39,0.57,17.97,59.22,8.37,2.24,0.45,0.08,3.14,,,,96.44
491,49,AMS,6,2,three,VF1-4-6,310509,4.96,0.42,17.92,59.58,7.95,2.11,0.46,0.17,3.09,,,,96.67
492,49,AMS,6,2,three,VF1-4-5,310509,4.75,0.48,18.05,59.20,8.37,2.17,0.40,0.17,3.17,,,,96.74
493,49,AMS,6,2,three,VF1-4-4,310509,4.64,0.57,17.88,59.01,8.26,2.27,0.44,0.15,3.19,,,,96.40
494,49,AMS,6,2,three,VF1-4-3,310509,4.71,0.59,17.69,59.40,8.22,2.32,0.44,0.21,3.30,,,,96.88
495,49,AMS,6,2,three,VF1-4-1,310509,4.56,0.54,17.68,59.07,8.46,2.27,0.43,0.12,2.98,,,,96.11
496,49,AMS,6,2,three,CF52_1,291109,4.51,0.59,17.99,59.74,8.68,2.35,0.51,0.14,3.36,1349,7406,2135,98.96
497,49,AMS,6,2,three,CF52_10,291109,4.24,0.63,17.60,57.11,7.79,2.26,0.49,0.15,3.37,788,7531,2443,94.71
498,49,AMS,6,2,three,CF52_11,291109,4.06,0.40,18.03,59.39,9.11,1.80,0.38,0.17,2.51,788,5056,1017,96.56
499,49,AMS,6,2,three,CF52_2,291109,4.29,0.68,18.38,59.15,8.54,2.56,0.43,0.09,3.55,1155,6846,2647,98.73
500,49,AMS,6,2,three,CF52_3,291109,4.57,0.73,18.04,58.85,8.33,2.62,0.53,0.08,3.34,1523,7356,2086,98.19
501,49,AMS,6,2,three,CF52_4,291109,4.48,0.61,17.86,58.00,8.13,2.37,0.49,0.21,3.45,1260,7590,1732,96.66
502,49,AMS,6,2,three,CF52_5,291109,4.20,0.73,17.92,57.24,7.95,2.60,0.43,0.09,3.42,1233,6644,1740,95.53
503,49,AMS,6,2,three,CF52_6,291109,4.89,0.65,18.47,59.54,8.37,2.48,0.53,0.17,3.28,966,7289,2935,99.49
504,49,AMS,6,2,three,CF52_7,291109,4.66,0.54,17.98,57.63,7.67,2.52,0.49,0.05,3.60,1096,7289,159,95.99
505,49,AMS,6,2,three,CF52_8,291109,4.29,0.59,18.12,57.24,7.53,2.37,0.47,0.13,3.33,801,7256,1911,95.07
506,49,AMS,6,2,three,CF52_9,291109,4.50,0.60,18.10,60.10,8.51,2.41,0.55,0.01,3.64,986,7338,1594,99.42
507,49,AMS,6,2,three,51_20,210609,3.79,0.89,17.89,58.13,8.65,2.73,0.45,0.17,3.64,1835,5848,1454,97.26
508,49,AMS,6,2,three,51_19,210609,4.02,0.80,18.20,59.11,8.86,2.95,0.50,0.16,3.64,1941,5461,955,99.06
509,49,AMS,6,2,three,51_18,210609,3.93,0.75,17.82,57.65,8.72,2.75,0.52,0.14,3.78,1532,5514,0,96.78
510,49,AMS,6,2,three,51_17,210609,3.89,0.78,18.39,58.98,9.07,2.71,0.48,0.11,3.79,1919,5184,787,98.97
511,49,AMS,6,2,three,51_16,210609,4.18,0.70,18.22,59.15,8.88,2.63,0.49,0.13,3.64,1306,5422,907,98.78
512,49,AMS,6,2,three,51_14,210609,4.09,0.65,17.76,57.00,8.49,2.58,0.45,0.16,3.71,1711,6090,1277,95.82
513,49,AMS,6,2,three,51_13,210609,3.68,0.71,17.25,55.78,8.81,2.66,0.54,0.12,3.71,1628,5430,2,93.98
514,49,AMS,6,2,three,51_9,210609,4.05,0.79,18.30,59.71,8.82,2.76,0.50,0.16,3.71,2041,5390,857,99.62
515,49,AMS,6,2,three,51_8,210609,4.14,0.79,18.33,59.55,8.84,2.72,0.44,0.06,3.54,1937,5138,661,99.21
516,49,AMS,6,2,three,51_6,210609,3.92,0.81,18.30,59.38,9.01,2.74,0.48,0.16,3.77,1868,6065,385,99.40
517,49,AMS,6,2,three,51_5,210609,3.94,0.81,18.30,58.54,8.66,2.70,0.45,0.14,3.92,1594,5448,1839,98.34
518,49,AMS,6,2,three,51_4,210609,4.24,0.72,18.18,58.37,8.77,2.83,0.42,0.17,3.61,1709,5479,1417,98.17
519,49,AMS,6,2,three,51_3,210609,3.92,0.72,18.50,59.48,9.07,2.67,0.45,0.14,3.68,1641,5416,566,99.39
520,49,AMS,6,2,three,51_1,210609,3.95,0.76,18.09,57.96,8.61,2.57,0.40,0.20,3.71,1473,5260,907,97.03
521,49,AMS,6,2,three,vf23_2_2,211009,4.29,0.58,19.36,60.11,8.44,2.35,0.54,0.18,3.79,1189,6938,1279,100.58
522,49,AMS,6,2,three,vf23_2_5,211009,4.05,0.75,19.34,60.06,8.23,2.85,0.52,0.15,4.03,1884,7125,1351,101.01
523,49,AMS,6,2,three,48_16,210609,4.34,0.60,17.97,58.99,8.09,2.48,0.42,0.15,3.25,740,6182,1470,97.13
524,49,AMS,6,2,three,48_15,210609,4.77,0.61,18.43,59.79,8.42,2.57,0.49,0.13,3.35,890,6958,856,99.42
525,49,AMS,6,2,three,48_13,210609,4.16,0.64,18.43,59.89,8.56,2.52,0.46,0.17,3.43,1382,6567,952,99.15
526,49,AMS,6,2,three,48_12,210609,4.64,0.55,18.18,59.48,8.66,2.42,0.42,0.13,3.40,901,6539,584,98.69
527,49,AMS,6,2,three,48_11,210609,4.67,0.55,18.47,60.37,8.42,2.42,0.42,0.13,3.21,1455,6252,2453,99.67
528,49,AMS,6,2,three,48_9,210609,4.94,0.54,18.51,59.91,8.30,2.58,0.47,0.15,3.42,955,6886,736,99.68
529,49,AMS,6,2,three,48_7,210609,4.58,0.54,18.26,59.07,8.26,2.37,0.47,0.17,3.32,1245,6210,1471,97.92
530,49,AMS,6,2,three,48_6,210609,4.33,0.61,18.02,59.17,8.55,2.48,0.51,0.23,3.33,1129,6564,1179,98.12
531,49,AMS,6,2,three,48_4,210609,4.62,0.55,17.55,58.31,8.09,2.23,0.46,0.11,3.21,1023,6457,1266,96.00
532,49,AMS,6,2,three,48_3,210609,4.71,0.61,18.14,59.88,8.58,2.36,0.48,0.14,3.17,1097,6261,1127,98.92
533,49,AMS,6,2,three,48_2,210609,4.42,0.70,18.42,59.24,8.37,2.53,0.55,0.20,3.49,2118,6343,1113,98.88
534,49,AMS,6,2,three,CF48_1,011209,4.67,0.54,18.72,59.17,8.81,2.27,0.43,0.19,3.08,1154,7586,1199,98.87
535,49,AMS,6,2,three,CF48_10,011209,4.31,0.63,18.56,59.05,8.66,2.54,0.53,0.19,3.36,1147,7556,1338,98.83
536,49,AMS,6,2,three,CF48_11,011209,4.26,0.71,18.19,58.60,8.69,2.81,0.54,0.10,3.49,1271,7507,2080,98.48
537,49,AMS,6,2,three,CF48_12,011209,4.88,0.53,18.67,58.85,8.69,2.33,0.50,0.09,3.32,964,7679,2292,98.96
538,49,AMS,6,2,three,CF48_2,011209,4.58,0.53,18.58,58.56,7.59,2.31,0.40,0.14,3.39,906,6851,1992,97.06
539,49,AMS,6,2,three,CF48_3,011209,4.78,0.52,18.83,58.54,8.67,2.43,0.42,0.17,3.24,1156,7451,1369,98.60
540,49,AMS,6,2,three,CF48_4,011209,4.54,0.53,18.84,58.75,8.63,2.29,0.50,0.13,3.11,1534,7616,1922,98.43
541,49,AMS,6,2,three,CF48_5,011209,4.62,0.59,18.44,60.75,8.80,2.35,0.47,0.11,3.14,1443,7611,557,100.23
542,49,AMS,6,2,three,CF48_6,011209,4.38,0.56,18.78,59.02,8.40,2.31,0.45,0.13,3.21,1385,6879,1406,98.20
543,49,AMS,6,2,three,CF48_7,011209,4.81,0.54,18.83,59.30,8.34,2.28,0.43,0.28,3.19,1717,7889,2483,99.21
544,49,AMS,6,2,three,CF48_8,011209,4.51,0.55,18.79,59.75,8.86,2.35,0.41,0.24,3.47,1537,7838,1466,100.02
545,49,AMS,6,2,three,CF48_9,011209,4.43,0.62,18.64,59.09,8.66,2.46,0.44,0.13,3.56,1667,7081,1500,99.05
546,48,Paleoastroni 2,7,1,three,cf63_1,150809,4.58,0.51,18.52,61.40,8.36,2.30,0.54,0.17,3.28,,,,99.66
547,48,Paleoastroni 2,7,1,three,cf63_3,150809,4.32,0.55,18.54,61.38,8.39,2.19,0.50,0.13,3.20,,,,99.20
548,48,Paleoastroni 2,7,1,three,cf63_4,150809,4.55,0.50,19.00,60.67,8.40,2.24,0.42,0.12,3.17,,,,99.07
549,48,Paleoastroni 2,7,1,three,cf63_5,150809,4.51,0.58,18.65,61.70,8.39,2.22,0.39,0.14,3.33,,,,99.91
550,48,Paleoastroni 2,7,1,three,cf63_6,150809,4.45,0.59,18.70,61.64,8.26,2.32,0.49,0.10,3.51,,,,100.05
551,48,Paleoastroni 2,7,1,three,cf63_7,150809,4.69,0.56,17.85,61.60,8.39,2.33,0.56,0.24,3.34,,,,99.55
552,48,Paleoastroni 2,7,1,three,cf63_8,150809,3.91,0.58,18.50,61.60,8.49,2.36,0.42,0.18,3.34,,,,99.39
553,48,Paleoastroni 2,7,1,three,63_20,180609,4.47,0.55,18.37,60.58,8.68,2.35,0.50,0.17,3.55,1448,7503,52,100.13
554,48,Paleoastroni 2,7,1,three,63_19,180609,4.67,0.54,17.94,60.15,8.59,2.14,0.45,0.14,3.37,1341,6939,1765,99.00
555,48,Paleoastroni 2,7,1,three,63_17,180609,5.05,0.61,18.45,60.18,8.73,2.17,0.51,0.11,3.68,1190,8337,1702,100.62
556,48,Paleoastroni 2,7,1,three,63_16,180609,4.31,0.49,17.72,59.73,9.02,2.31,0.37,0.14,3.22,1010,8325,357,98.28
557,48,Paleoastroni 2,7,1,three,63_15,180609,4.93,0.53,18.17,60.89,8.52,2.17,0.48,0.15,3.30,1398,7027,1699,100.16
558,48,Paleoastroni 2,7,1,three,63_13,180609,4.80,0.61,18.31,60.88,8.84,2.35,0.42,0.09,3.23,990,6121,160,100.27
559,48,Paleoastroni 2,7,1,three,63_10,180609,4.86,0.57,18.52,61.48,8.41,2.30,0.39,0.11,3.38,1638,8184,1412,101.15
560,48,Paleoastroni 2,7,1,three,63_8,180609,4.75,0.56,18.57,60.60,8.44,2.37,0.42,0.19,3.14,1242,6989,471,99.92
561,48,Paleoastroni 2,7,1,three,63_7,180609,4.49,0.63,18.41,60.92,8.83,2.28,0.44,0.06,3.26,974,6836,263,100.13
562,48,Paleoastroni 2,7,1,three,63_6,180609,4.88,0.50,18.30,60.97,8.95,2.40,0.50,0.12,3.37,698,7587,1801,101.00
563,48,Paleoastroni 2,7,1,three,63_5,180609,4.73,0.53,18.30,60.03,8.76,2.18,0.50,0.18,3.23,1204,8060,1345,99.50
564,48,Paleoastroni 2,7,1,three,63_3,180609,4.87,0.56,18.33,60.47,8.37,2.37,0.44,0.16,3.41,656,7693,845,99.89
565,48,Paleoastroni 2,7,1,three,63_2,180609,4.72,0.54,18.22,60.34,8.53,2.16,0.42,0.16,3.39,991,6775,1745,99.42
566,48,Paleoastroni 2,7,1,three,63_1,180609,4.48,0.56,18.19,60.45,8.91,2.36,0.45,0.16,3.34,1236,7530,1264,99.89
567,48,Paleoastroni 2,7,1,three,VF5?-7-20,300509,4.65,0.53,18.17,59.71,8.25,2.15,0.40,0.14,3.25,,,,97.25
568,48,Paleoastroni 2,7,1,three,VF5?-7-19,300509,4.43,0.35,18.52,60.43,8.56,2.28,0.43,0.10,2.70,,,,97.80
569,48,Paleoastroni 2,7,1,three,VF5?-7-18,300509,4.42,0.56,18.27,60.22,8.63,2.23,0.38,0.09,3.32,,,,98.12
570,48,Paleoastroni 2,7,1,three,VF5?-7-17,300509,4.75,0.51,18.54,59.66,8.24,2.27,0.43,0.11,3.34,,,,97.86
571,48,Paleoastroni 2,7,1,three,VF5?-7-16,300509,4.73,0.53,18.12,58.82,8.43,2.26,0.42,0.13,3.24,,,,96.66
572,48,Paleoastroni 2,7,1,three,VF5?-7-15,300509,4.38,0.57,18.11,59.19,8.37,2.35,0.44,0.12,3.42,,,,96.96
573,48,Paleoastroni 2,7,1,three,VF5?-7-14,300509,4.46,0.59,18.41,59.97,8.47,2.24,0.42,0.12,3.38,,,,98.07
574,48,Paleoastroni 2,7,1,three,VF5?-7-13,300509,4.53,0.55,18.19,60.08,8.46,2.14,0.42,0.12,3.31,,,,97.80
575,48,Paleoastroni 2,7,1,three,VF5?-7-11,300509,3.66,0.63,17.67,58.13,8.97,2.31,0.43,0.08,4.11,,,,95.98
576,48,Paleoastroni 2,7,1,three,VF5?-7-10,300509,4.85,0.55,18.01,59.54,7.68,2.04,0.43,0.13,3.29,,,,96.51
577,48,Paleoastroni 2,7,1,three,VF5?-7-9,300509,4.84,0.58,18.11,59.06,8.12,2.32,0.44,0.14,3.25,,,,96.88
578,48,Paleoastroni 2,7,1,three,VF5?-7-7,300509,4.83,0.60,17.87,59.30,8.22,2.23,0.42,0.07,3.35,,,,96.90
579,48,Paleoastroni 2,7,1,three,VF5?-7-6,300509,4.34,0.56,18.33,59.31,8.22,2.18,0.42,0.13,3.49,,,,96.98
580,48,Paleoastroni 2,7,1,three,VF5?-7-5,300509,4.70,0.55,18.32,58.91,8.04,2.25,0.42,0.11,3.24,,,,96.55
581,48,Paleoastroni 2,7,1,three,VF5?-7-4,300509,4.85,0.58,18.43,59.23,8.21,2.23,0.42,0.18,3.39,,,,97.52
582,48,Paleoastroni 2,7,1,three,VF5?-7-3,300509,4.75,0.58,18.40,59.13,8.40,2.21,0.47,0.19,3.43,,,,97.56
583,48,Paleoastroni 2,7,1,three,VF5?-7-2,300509,4.70,0.60,18.62,59.67,8.27,2.16,0.41,0.05,3.40,,,,97.89
584,48,Paleoastroni 2,7,1,three,VF5?-7-1,300509,4.70,0.62,17.68,57.96,7.84,2.05,0.46,0.17,3.66,,,,95.15
585,48,Paleoastroni 2,7,1,three,VF3-6-22,290509,5.02,0.50,17.42,57.28,7.79,2.09,0.40,0.12,3.21,,,,93.84
586,48,Paleoastroni 2,7,1,three,VF3-6-21,290509,5.04,0.49,17.53,57.66,7.73,2.09,0.40,0.17,3.30,,,,94.40
587,48,Paleoastroni 2,7,1,three,VF3-6-20,290509,4.93,0.51,18.45,60.42,8.02,2.14,0.43,0.16,3.01,,,,98.05
588,48,Paleoastroni 2,7,1,three,VF3-6-19,290509,4.68,0.42,17.65,58.08,7.66,1.94,0.41,0.16,3.33,,,,94.33
589,48,Paleoastroni 2,7,1,three,VF3-6-17,290509,5.09,0.50,18.24,60.74,8.00,2.13,0.44,0.15,3.02,,,,98.30
590,48,Paleoastroni 2,7,1,three,VF3-6-16,290509,5.04,0.57,18.33,60.44,7.98,2.23,0.49,0.09,3.23,,,,98.40
591,48,Paleoastroni 2,7,1,three,VF3-6-15,290509,5.14,0.50,18.40,60.78,8.14,2.12,0.48,0.09,3.07,,,,98.71
592,48,Paleoastroni 2,7,1,three,VF3-6-13,290509,4.68,0.57,18.31,60.39,8.17,2.27,0.40,0.16,3.35,,,,98.30
593,48,Paleoastroni 2,7,1,three,VF3-6-12,290509,4.58,0.56,18.52,60.47,8.37,2.25,0.45,0.15,3.32,,,,98.67
594,48,Paleoastroni 2,7,1,three,VF3-6-11,290509,4.52,0.56,18.30,60.48,8.35,2.27,0.45,0.09,3.16,,,,98.17
595,48,Paleoastroni 2,7,1,three,VF3-6-8,290509,4.55,0.48,17.18,58.15,7.98,2.07,0.42,0.15,2.98,,,,93.96
596,48,Paleoastroni 2,7,1,three,VF3-6-7,290509,4.38,0.59,18.35,59.60,8.52,2.26,0.37,0.14,3.35,,,,97.58
597,48,Paleoastroni 2,7,1,three,VF3-6-6,290509,4.30,0.58,18.44,60.14,8.60,2.31,0.44,0.14,3.42,,,,98.36
598,48,Paleoastroni 2,7,1,three,VF3-6-5,290509,5.14,0.50,18.12,59.96,8.13,2.09,0.45,0.17,3.17,,,,97.73
599,48,Paleoastroni 2,7,1,three,VF3-6-4,290509,4.94,0.49,18.15,59.69,8.20,2.12,0.45,0.15,3.31,,,,97.49
600,48,Paleoastroni 2,7,1,three,VF3-6-3,290509,4.79,0.48,17.89,60.17,8.12,2.16,0.42,0.17,3.22,,,,97.40
601,48,Paleoastroni 2,7,1,three,VF3-6-2,290509,5.11,0.51,18.26,60.07,8.20,2.12,0.42,0.11,3.22,,,,98.03
602,48,Paleoastroni 2,7,1,three,VF3-6-1,290509,5.10,0.49,18.05,60.09,7.91,2.14,0.44,0.16,3.19,,,,97.58
603,47,Paleoastroni 1,7,1,three,VF3-7-21,290509,5.49,0.62,18.03,58.04,8.02,2.18,0.48,0.22,4.25,,,,97.32
604,47,Paleoastroni 1,7,1,three,VF3-7-20,290509,5.10,0.59,18.81,60.04,8.25,2.30,0.38,0.18,3.61,,,,99.25
605,47,Paleoastroni 1,7,1,three,VF3-7-19,290509,4.34,0.56,18.20,59.19,8.72,2.23,0.45,0.21,3.13,,,,97.01
606,47,Paleoastroni 1,7,1,three,VF3-7-18,290509,4.51,0.40,18.53,58.53,8.56,2.16,0.36,0.11,3.03,,,,96.19
607,47,Paleoastroni 1,7,1,three,VF3-7-17,290509,4.29,0.54,18.01,57.36,8.52,2.26,0.39,0.07,3.12,,,,94.57
608,47,Paleoastroni 1,7,1,three,VF3-7-16,290509,4.76,0.56,18.58,59.10,8.64,2.27,0.37,0.15,3.35,,,,97.78
609,47,Paleoastroni 1,7,1,three,VF3-7-15,290509,4.44,0.58,18.22,57.20,8.59,2.41,0.44,0.15,3.52,,,,95.54
610,47,Paleoastroni 1,7,1,three,VF3-7-13,290509,4.42,0.47,18.51,58.55,8.72,2.24,0.41,0.17,3.29,,,,96.80
611,47,Paleoastroni 1,7,1,three,VF3-7-12,290509,4.51,0.62,18.20,57.81,8.49,2.40,0.46,0.07,3.52,,,,96.08
612,47,Paleoastroni 1,7,1,three,VF3-7-11,290509,4.65,0.50,18.91,60.69,7.54,2.27,0.37,0.14,3.35,,,,98.43
613,47,Paleoastroni 1,7,1,three,VF3-7-10,290509,4.49,0.51,18.65,58.04,8.62,2.31,0.36,0.13,3.17,,,,96.28
614,47,Paleoastroni 1,7,1,three,VF3-7-9,290509,4.23,0.62,18.10,57.49,8.27,2.37,0.36,0.20,4.12,,,,95.74
615,47,Paleoastroni 1,7,1,three,VF3-7-8,290509,4.77,0.66,18.12,56.97,8.41,2.24,0.44,0.12,4.20,,,,95.92
616,47,Paleoastroni 1,7,1,three,VF3-7-7,290509,4.79,0.50,18.19,57.65,8.32,2.40,0.51,0.22,3.59,,,,96.19
617,47,Paleoastroni 1,7,1,three,VF3-7-6,290509,4.88,0.54,18.68,59.43,8.64,2.21,0.40,0.13,3.31,,,,98.23
618,47,Paleoastroni 1,7,1,three,VF3-7-5,290509,5.22,0.62,17.82,57.33,8.18,2.24,0.45,0.14,3.96,,,,95.96
619,47,Paleoastroni 1,7,1,three,VF3-7-4,290509,4.97,0.51,18.26,58.51,8.58,2.30,0.41,0.19,3.38,,,,97.10
620,47,Paleoastroni 1,7,1,three,VF3-7-3,290509,4.74,0.51,18.50,57.74,8.46,2.33,0.40,0.19,3.20,,,,96.06
621,47,Paleoastroni 1,7,1,three,60_20,180609,3.86,0.82,17.78,57.12,8.64,2.72,0.44,0.19,3.49,1655,6208,475,95.89
622,47,Paleoastroni 1,7,1,three,60_19,180609,4.01,0.52,18.07,60.03,9.02,2.38,0.45,0.14,3.02,814,6884,1416,98.55
