Analysis no.,Strat. Pos.,Eruption,controlcode,Sample,Epoch,Crater size,Date of analysis,Si/bulk cps,SiO2* (EMP),Sc,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U
1952,62,Astroni 6,1,78-1,three-b,10,100210pm,3.96,59.11,0.22,346,597,25.52,276,44.84,20.68,921,60.83,98.94,10.97,33.96,6.81,0.59,7.40,0.86,4.56,0.51,3.41,0.04,3.26,0.72,5.60,2.65,234.23,25.81,6.69
1953,62,Astroni 6,1,78-1,three-b,20,100210pm,14.72,59.11,0.09,338,769,31.39,356,56.42,23.88,1242,84.32,132.29,14.49,60.80,20.42,2.07,7.05,1.05,4.96,1.20,3.20,0.42,3.28,0.55,8.21,3.18,174.91,35.63,10.05
1954,62,Astroni 6,1,78-1,three-b,10,100210pm,3.46,59.11,0.00,326,677,23.97,305,56.53,19.15,1088,68.26,121.62,10.86,51.04,7.87,1.68,8.91,0.64,7.45,1.11,1.39,0.98,4.16,0.40,5.59,3.09,61.54,28.38,8.87
1955,62,Astroni 6,1,78-1,three-b,10,100210pm,5.92,59.11,0.11,324,499,21.24,303,54.07,21.92,747,66.35,110.38,11.71,41.29,10.33,1.09,5.45,1.03,3.70,0.86,2.85,0.32,2.25,0.37,4.64,2.88,53.82,26.63,8.33
1956,62,Astroni 6,1,78-1,three-b,10,100210pm,3.69,59.11,0.03,365,528,22.68,294,47.98,26.23,879,58.89,102.46,9.66,48.47,4.83,0.41,5.04,0.25,5.56,0.72,3.11,0.05,1.48,0.64,6.99,1.81,78.57,26.86,7.11
1957,62,Astroni 6,1,78-1,three-b,10,100210pm,4.83,59.11,0.08,323,623,21.71,261,50.88,18.23,990,58.38,116.06,11.41,39.69,8.98,1.49,3.53,0.92,2.99,0.99,2.01,0.81,1.82,0.53,5.49,2.10,77.60,24.72,8.08
1958,62,Astroni 6,1,76,three-b,20,040810am,6.99,60.10,0.21,388,463,30.09,376,66.01,27.54,582,79.30,149.98,14.93,50.58,9.18,1.97,9.64,1.09,6.33,1.19,2.88,0.54,4.28,0.35,8.25,3.55,62.97,39.84,18.28
1959,62,Astroni 6,1,76,three-b,20,040810am,9.60,60.07,0.24,364,371,26.70,356,63.42,25.90,352,69.70,133.73,12.78,47.63,9.65,1.87,6.74,0.83,5.06,0.88,2.92,0.45,3.54,0.52,7.20,3.42,65.96,33.15,10.85
1960,62,Astroni 6,1,76,three-b,20,040810am,11.00,59.75,0.26,389,417,29.96,372,61.51,27.43,438,77.10,147.45,14.53,50.91,9.18,1.72,6.74,0.86,5.47,1.17,3.41,0.51,2.61,0.52,7.40,3.35,74.54,35.30,10.86
1961,62,Astroni 6,1,76,three-b,20,040810am,9.19,61.21,0.23,369,291,30.70,452,68.38,29.64,232,79.71,148.41,15.55,48.97,9.99,1.97,7.29,1.05,5.47,0.96,3.12,0.54,3.28,0.59,8.46,3.37,69.51,39.78,11.58
