Analysis no.,Strat. Pos.,Eruption,controlcode,Sample,Epoch,Crater size,Date of analysis,Si/bulk cps,SiO2* (EMP),Sc,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U
2114,44,Agnano 3,3,106,three,20,030810pm,13.35,59.82,0.26,358,409,33.30,436,58.92,26.42,601,76.95,137.61,13.96,57.74,8.80,1.64,7.29,0.93,6.08,1.65,3.00,0.59,4.14,0.52,8.88,3.51,54.65,39.96,10.68
2115,44,Agnano 3,3,106,three,20,030810pm,11.48,60.68,0.23,322,264,45.85,411,56.75,24.76,183,102.88,140.05,16.85,55.71,13.64,2.28,10.08,1.30,7.46,1.49,4.60,0.53,4.71,0.59,9.96,2.82,71.53,38.37,10.54
2116,44,Agnano 3,3,106,three,20,030810pm,13.64,60.68,0.30,390,352,37.78,518,69.90,30.65,474,88.51,148.60,16.93,54.60,10.38,1.92,9.96,1.14,7.15,1.38,3.85,0.75,4.43,0.58,11.09,4.10,64.55,44.01,13.19
2117,44,Agnano 3,3,106,three,20,030810pm,10.20,61.41,0.27,366,331,40.14,366,52.78,26.30,238,84.35,145.31,17.31,62.87,11.39,2.28,8.58,1.49,8.82,1.66,3.56,0.47,3.00,0.70,7.90,3.08,67.01,30.78,9.24
2118,41,Averno 1,4,87,three,20,030810pm,13.17,60.57,0.09,357,496,30.91,365,61.67,25.33,823,76.84,139.25,14.74,54.97,7.86,1.82,8.26,0.80,4.68,1.10,3.07,0.78,3.68,0.54,7.76,3.27,57.34,40.72,11.00
2119,41,Averno 1,4,87,three,20,030810pm,16.18,60.57,0.14,418,359,31.85,438,73.95,30.62,516,85.32,157.67,15.27,59.04,11.93,1.60,7.48,1.37,4.62,1.10,3.35,0.39,3.88,0.62,9.85,3.86,95.85,46.92,14.42
2120,41,Averno 1,4,87,three,20,030810pm,17.97,60.57,0.15,404,262,33.32,482,79.02,34.62,310,92.34,177.96,18.06,60.62,9.82,1.68,7.48,1.29,6.18,1.41,3.87,0.73,3.31,0.60,11.14,4.25,112.91,52.19,15.21
2121,41,Averno 1,4,87,three,20,030810pm,16.97,60.57,0.22,384,386,30.62,404,67.40,29.10,579,75.14,142.72,15.90,52.45,8.54,1.99,7.60,0.73,5.32,1.24,2.96,0.43,3.42,0.41,9.93,3.76,70.26,39.15,13.06
2122,41,Averno 1,4,87,three,20,030810pm,15.49,60.57,0.22,389,346,37.62,476,77.39,29.77,434,92.31,160.66,15.39,64.67,10.17,1.85,8.26,1.34,6.91,1.34,4.39,0.59,2.99,0.49,13.50,4.25,65.37,45.14,13.27
2123,41,Averno 1,4,87,three,20,030810pm,16.40,60.57,0.19,382,300,34.82,476,78.91,29.72,358,87.48,167.59,16.84,57.35,11.56,1.61,10.52,1.15,6.56,1.25,4.28,0.54,3.88,0.55,10.95,4.76,60.86,46.99,15.34
2124,41,Averno 1,4,87,three,20,030810pm,18.77,60.57,0.18,397,360,31.64,438,74.92,30.12,490,80.72,156.83,16.05,56.52,8.85,1.34,6.45,1.15,6.02,1.01,2.89,0.54,3.26,0.58,10.04,4.44,63.06,42.85,13.71
2125,41,Averno 1,4,87,three,20,030810pm,12.09,60.57,0.19,386,368,33.99,440,68.34,29.93,480,82.55,148.16,15.36,54.67,8.92,1.83,5.69,1.40,5.55,1.36,3.83,0.76,3.13,0.51,10.22,4.19,66.10,42.97,13.65
2126,41,Averno 1,4,87,three,20,030810pm,10.44,60.57,0.18,377,402,30.96,417,62.50,26.93,657,77.04,141.31,14.94,52.23,9.23,1.31,7.46,1.00,6.65,1.16,4.46,0.41,2.52,0.76,9.25,3.56,54.87,41.18,11.09
2127,41,Averno 1,4,87,three,20,030810pm,12.12,60.57,0.18,371,437,32.07,399,64.88,27.42,742,79.61,143.51,16.52,59.73,11.78,1.56,7.13,0.92,6.02,0.91,3.47,0.42,4.69,0.75,9.84,3.34,69.71,38.86,11.50
2128,35,Pigna San Nicola,5,103,two,20,030810pm,15.95,61.11,0.27,360,284,35.57,429,64.32,31.99,248,94.25,153.83,17.95,60.96,12.16,2.06,10.15,1.05,6.62,1.20,3.82,0.66,4.08,0.58,8.88,3.09,77.69,40.66,10.99
2129,35,Pigna San Nicola,5,103,two,20,030810pm,20.42,61.39,0.26,376,370,37.59,418,67.78,29.10,325,101.36,168.77,20.70,77.11,11.69,1.84,10.14,1.23,7.73,1.45,3.77,0.47,6.73,0.63,9.95,3.89,74.26,40.60,11.17
2130,35,Pigna San Nicola,5,103,two,20,030810pm,11.29,61.57,0.25,353,388,36.65,429,60.15,24.95,288,92.74,137.55,17.24,64.64,11.08,1.74,10.27,1.12,7.51,1.20,3.33,0.65,4.31,0.78,11.68,3.45,65.99,38.81,9.35
2131,35,Pigna San Nicola,5,103,two,20,030810pm,13.52,61.47,0.28,361,254,35.90,443,61.34,26.11,155,94.39,158.74,17.23,66.50,9.95,1.70,9.23,1.20,6.69,1.32,3.83,0.40,3.71,0.58,10.63,3.41,64.58,41.42,10.83
2132,35,Pigna San Nicola,5,103,two,20,030810pm,14.09,61.32,0.22,359,247,37.02,417,63.01,26.00,165,91.24,150.59,17.23,63.31,11.54,2.14,9.30,1.13,6.41,1.56,4.21,0.65,4.19,0.46,9.90,3.87,68.48,43.76,10.64
2133,35,Pigna San Nicola,5,103,two,20,030810pm,18.84,61.53,0.31,361,268,34.96,413,66.19,28.34,173,88.94,155.67,17.59,62.47,12.26,1.88,8.97,1.21,6.22,1.40,3.62,0.43,4.15,0.69,8.65,3.79,87.28,39.88,11.82
2134,35,Pigna San Nicola,5,103,two,20,030810pm,15.45,61.65,0.24,368,261,43.08,501,66.19,28.42,136,103.35,167.99,19.24,68.32,12.87,2.49,8.97,1.12,6.89,1.65,4.45,0.49,3.86,0.75,10.34,3.88,69.84,46.54,11.83
2135,35,Pigna San Nicola,5,103,two,20,030810pm,13.65,61.18,0.31,331,261,38.06,454,56.83,26.64,133,89.47,150.35,17.38,64.00,10.84,1.70,10.07,1.25,8.10,1.42,3.85,0.53,3.47,0.67,9.65,3.30,61.45,41.11,10.81
2136,35,Pigna San Nicola,5,103,two,20,030810pm,22.67,61.39,0.27,328,369,36.51,429,62.86,24.99,258,87.17,167.06,18.78,59.88,10.75,2.18,8.65,1.18,6.63,1.33,3.86,0.63,3.98,0.51,9.12,3.75,106.51,41.04,10.81
2137,35,Pigna San Nicola,5,103,two,20,030810pm,13.03,61.25,0.25,322,211,31.83,381,60.36,25.64,115,75.40,130.14,15.40,52.73,8.76,1.91,8.57,1.01,6.32,1.12,3.84,0.55,3.21,0.55,7.77,3.02,57.35,31.74,8.91
2138,35,Pigna San Nicola,5,103,two,20,030810pm,9.89,61.30,0.27,349,300,38.65,464,60.23,25.25,185,89.44,167.06,18.45,64.86,11.02,1.80,10.98,1.37,7.78,1.31,4.48,0.87,5.22,0.61,9.91,3.96,67.47,42.56,10.85
2139,35,Pigna San Nicola,5,103,two,20,030810pm,11.25,61.45,0.28,344,221,34.93,414,57.39,25.67,109,83.70,147.77,16.84,59.87,12.32,2.12,7.64,1.36,5.62,1.37,3.62,0.56,3.54,0.65,10.17,3.27,65.45,39.41,11.24
2140,35,Pigna San Nicola,5,103,two,20,030810pm,16.43,61.03,0.30,350,395,36.68,467,64.05,26.73,263,91.79,158.80,18.23,61.51,12.48,2.29,8.96,1.27,7.80,1.27,3.65,0.80,4.48,0.81,10.32,3.93,75.40,43.35,11.38
2141,35,Pigna San Nicola,5,103,two,20,030810pm,8.25,61.16,0.23,319,249,36.55,449,60.69,25.61,125,89.75,154.08,16.93,62.12,10.00,1.61,9.48,1.14,8.05,1.72,4.32,0.36,4.04,0.67,8.38,3.17,56.47,39.87,10.37
2142,32,Fondi di Baia,6,88,two,20,030810pm,15.10,62.41,0.33,357,36,36.45,469,65.62,31.63,0.00,93.31,151.14,16.76,58.32,11.42,2.18,9.00,1.06,7.42,1.42,4.36,0.53,3.73,0.56,11.02,3.88,78.73,44.61,12.92
2143,32,Fondi di Baia,6,88,two,20,030810pm,11.45,62.41,0.23,369,25,44.56,588,83.03,31.07,2.02,111.02,178.60,19.77,70.05,13.04,1.63,10.64,1.45,8.31,1.28,4.88,0.83,4.65,0.74,12.05,4.85,69.21,56.11,15.55
2144,32,Fondi di Baia,6,88,two,20,030810pm,15.97,62.41,0.25,469,14,58.93,701,109.56,45.18,1.64,140.20,246.60,26.87,93.12,14.24,1.74,12.83,1.82,9.40,2.01,6.53,0.91,6.25,0.85,15.17,6.26,89.10,71.88,20.55
2145,32,Fondi di Baia,6,88,two,20,030810pm,12.26,62.41,0.28,368,27,42.63,539,77.35,24.83,2.46,116.59,190.59,19.78,75.40,12.45,1.77,10.95,1.25,7.73,1.33,3.36,0.58,4.20,0.69,12.73,4.60,68.53,59.45,14.48
2146,32,Fondi di Baia,6,88,two,20,030810pm,7.55,62.41,0.37,532,53,73.72,920,121.57,53.88,27.05,169.55,322.64,32.49,111.98,22.26,2.14,16.71,2.27,16.29,2.44,7.50,0.93,9.21,1.27,23.55,7.37,117.38,92.62,26.23
2147,32,Fondi di Baia,6,88,two,20,030810pm,11.00,62.41,0.29,410,16,54.98,704,98.34,34.37,3.68,126.43,206.98,22.40,86.35,12.79,1.33,11.63,1.47,9.22,1.83,5.51,0.77,5.70,1.03,16.53,5.57,72.52,68.30,18.41
2148,32,Fondi di Baia,6,88,two,20,030810pm,15.17,62.41,0.27,473,12,56.87,711,112.50,43.50,0.00,136.93,235.67,25.20,92.93,13.11,1.53,13.28,1.53,10.92,2.08,5.15,0.89,5.58,1.04,15.09,6.02,78.40,69.66,19.97
2149,32,Fondi di Baia,6,88,two,20,030810pm,8.37,62.41,0.35,517,28,72.73,851,114.55,47.74,2.37,162.07,281.85,29.53,111.56,20.22,1.51,17.52,2.02,13.68,2.72,7.06,0.97,7.57,1.09,19.11,7.49,134.43,90.14,22.71
2150,32,Fondi di Baia,6,88,two,20,030810pm,15.00,62.41,0.23,353,32,49.85,679,96.41,24.10,0.46,119.98,197.91,21.56,74.52,13.09,2.07,10.19,1.39,8.45,1.87,5.03,0.54,4.81,0.87,16.88,5.85,74.38,65.82,18.56
2151,32,Fondi di Baia,6,88,two,20,030810pm,8.93,62.41,0.27,387,18,38.69,524,76.66,30.60,0.29,101.25,163.85,17.45,69.66,12.27,1.57,8.60,1.13,7.56,1.80,3.61,0.62,4.53,0.76,11.76,4.57,64.27,47.40,12.35
2152,32,Fondi di Baia,6,88,two,20,030810pm,9.35,62.41,0.23,456,17,55.08,673,102.82,41.33,4.43,125.26,218.15,22.83,84.67,13.16,1.47,10.52,1.80,10.47,1.68,5.55,0.90,6.24,0.63,13.68,5.18,78.48,61.37,17.83
2153,32,Fondi di Baia,6,88,two,20,030810pm,15.01,62.41,0.30,457,13,55.07,710,107.10,42.40,0.00,133.44,227.71,24.71,92.08,15.22,1.70,12.36,1.66,10.59,1.81,6.19,0.79,5.60,0.95,15.07,6.24,86.09,67.17,19.50
2154,32,Fondi di Baia,6,88,two,20,030810pm,8.08,62.41,0.25,462,15,68.83,802,107.29,41.12,0.00,149.38,240.96,26.70,98.13,16.70,1.53,14.45,2.10,11.73,1.82,6.39,1.08,6.99,1.08,17.12,5.76,81.41,74.83,18.70
2155,32,Fondi di Baia,6,88,two,20,030810pm,7.00,62.41,0.23,508,,54.06,659,105.26,47.34,2.21,123.70,210.00,23.15,76.98,13.03,0.99,8.61,1.50,8.42,2.02,6.21,0.50,5.37,0.78,12.86,4.89,78.52,53.71,14.95
2156,32,Fondi di Baia,6,88,two,20,030810pm,14.00,62.41,0.29,407,10,53.39,677,116.96,36.52,0.00,128.43,234.61,25.85,87.43,14.99,1.35,13.35,1.64,9.18,1.83,6.00,0.98,6.72,0.89,14.22,6.15,92.15,68.98,21.44
2157,32,Fondi di Baia,6,88,two,20,030810pm,14.35,62.41,0.28,434,22,60.27,734,117.05,35.63,0.35,143.29,244.11,25.79,91.58,15.98,1.52,11.87,1.63,9.31,2.02,6.90,0.88,5.41,1.04,16.87,6.38,77.40,73.01,21.36
2158,32,Fondi di Baia,6,88,two,20,030810pm,17.54,62.41,0.26,411,18,57.71,747,113.04,36.28,0.72,134.00,236.09,24.43,89.36,14.68,1.55,12.90,1.65,9.95,1.79,5.53,0.93,5.93,0.98,17.02,6.03,77.20,73.74,21.23
2159,24,Pisani 2,7,26,one,20,030810pm,23.28,56.30,0.37,261,748,23.95,219,34.76,15.48,1478,53.41,96.84,12.06,43.16,8.15,2.15,6.96,0.81,5.14,0.88,2.95,0.38,2.50,0.46,5.72,2.22,43.11,19.14,7.17
2160,24,Pisani 2,7,26,one,20,030810pm,27.16,56.99,0.32,295,791,26.26,242,38.98,17.73,1609,59.78,111.32,12.77,48.77,9.76,2.16,7.33,0.83,5.73,1.06,3.07,0.36,2.62,0.38,6.00,2.23,53.36,21.89,6.82
2161,24,Pisani 2,7,26,one,20,030810pm,10.46,56.88,0.32,294,610,28.84,243,36.99,16.46,1211,55.16,90.65,12.34,44.02,7.79,2.17,8.55,0.93,7.29,1.00,2.98,0.39,3.05,0.52,5.68,2.45,47.74,22.63,5.15
2162,24,Pisani 2,7,26,one,20,030810pm,9.18,57.34,0.33,265,743,23.93,224,34.63,14.06,1345,47.73,92.31,10.70,42.17,7.25,1.11,6.62,0.91,3.52,0.59,3.62,0.36,2.17,0.28,4.30,1.64,37.06,19.58,5.05
2163,24,Pisani 2,7,26,one,20,030810pm,25.62,56.64,0.31,298,723,23.97,224,37.96,18.10,1474,53.90,102.02,11.75,44.07,8.10,1.72,6.51,0.83,4.94,0.77,2.50,0.39,2.37,0.41,4.67,1.95,65.32,19.92,6.02
2164,24,Pisani 2,7,26,one,20,030810pm,8.72,58.28,0.33,300,742,25.96,263,39.03,16.86,1419,58.30,106.43,13.01,43.95,8.72,2.51,7.18,0.93,5.35,1.04,3.23,0.49,2.97,0.44,6.00,1.83,43.40,22.56,5.67
2165,24,Pisani 2,7,26,one,20,030810pm,11.10,56.88,0.34,296,776,27.11,238,37.52,16.53,1501,58.62,109.54,11.91,47.62,10.48,2.30,6.64,0.87,7.21,1.12,3.54,0.52,3.24,0.37,5.56,2.40,45.48,22.75,6.05
2166,24,Pisani 2,7,26,one,20,030810pm,12.39,56.22,0.31,349,609,24.22,230,38.11,16.93,1196,50.09,83.93,11.82,39.56,9.56,1.47,6.19,0.95,5.63,0.89,2.34,0.36,2.23,0.21,6.50,1.95,46.86,21.35,5.70
2167,24,Pisani 2,7,26,one,20,030810pm,15.44,57.11,0.31,304,692,25.12,227,36.05,17.73,1434,54.93,104.74,11.70,41.25,7.07,2.07,6.14,0.80,5.57,0.88,3.13,0.27,2.53,0.47,5.15,2.02,46.60,19.36,6.80
2168,24,Pisani 2,7,26,one,20,030810pm,3.94,58.08,0.35,255,623,28.40,214,31.90,13.20,1266,47.65,90.14,10.49,39.53,8.59,1.41,4.90,0.83,4.23,0.81,1.31,0.35,1.00,0.53,5.95,1.64,31.40,16.23,3.59
2169,24,Pisani 2,7,26,one,20,030810pm,7.79,57.25,0.31,311,766,28.44,269,38.80,17.05,1468,61.41,106.64,12.73,46.79,7.71,1.87,7.98,0.94,4.66,1.36,3.35,0.28,2.92,0.24,6.79,2.07,45.26,22.17,5.68
2170,24,Pisani 2,7,26,one,20,030810pm,12.89,57.55,0.32,300,685,27.32,227,39.08,16.67,1465,55.28,108.79,12.36,44.78,7.90,2.11,8.25,0.78,6.14,1.00,2.05,0.43,2.39,0.21,5.03,2.08,47.10,22.12,6.69
2171,24,Pisani 2,7,26,one,20,030810pm,10.09,57.52,0.30,308,589,25.68,235,36.11,16.88,1229,53.30,121.78,12.95,40.69,9.11,2.02,7.26,0.68,5.14,0.79,2.53,0.22,2.94,0.31,5.20,2.01,50.63,20.08,5.14
2172,24,Pisani 2,7,26,one,20,030810pm,8.76,57.52,0.26,294,744,27.03,246,36.58,17.07,1251,56.33,95.15,11.16,49.83,10.43,1.59,6.28,0.97,5.94,0.79,3.17,0.69,2.02,0.50,5.30,1.49,45.64,19.91,5.64
2173,24,Pisani 2,7,26,one,20,030810pm,12.32,57.55,0.32,315,757,26.46,260,36.31,17.72,1581,56.75,106.99,12.93,48.45,7.65,2.31,6.30,1.23,5.53,1.22,2.26,0.46,3.14,0.36,5.95,2.28,51.69,22.48,6.82
2174,23,Pisani 1,7,25-1,one,20,040810am,15.00,55.93,0.31,272,809,29.26,244,33.84,15.38,1413,56.59,107.93,13.38,46.07,9.83,2.40,7.60,1.04,4.85,1.09,2.09,0.38,3.65,0.33,5.70,1.77,52.90,21.62,6.08
2175,23,Pisani 1,7,25-1,one,20,040810am,15.74,55.93,0.33,254,778,29.57,239,32.93,14.88,1376,56.29,102.93,11.84,46.26,11.87,2.16,8.06,0.98,6.78,1.02,2.77,0.45,2.57,0.60,5.58,1.83,51.93,19.83,5.63
2176,23,Pisani 1,7,25-1,one,20,040810am,13.05,55.93,0.29,275,729,28.91,232,33.88,14.37,1325,54.90,105.80,11.87,46.34,7.57,1.81,8.43,1.17,5.43,1.10,2.47,0.73,2.96,0.49,6.46,1.94,48.38,20.28,5.80
2177,23,Pisani 1,7,25-1,one,20,040810am,13.91,55.93,0.35,260,858,28.07,245,34.84,14.57,1497,57.44,112.02,12.91,48.29,10.51,1.87,9.74,0.76,6.70,1.55,2.70,0.53,3.92,0.57,6.34,2.15,47.52,20.73,5.86
2178,23,Pisani 1,7,25-1,one,20,040810am,7.91,55.93,0.27,277,725,33.80,220,33.85,14.91,1226,61.95,99.05,13.00,58.66,12.73,2.05,7.97,0.92,11.99,2.48,2.78,0.35,1.96,0.40,6.21,1.61,62.92,24.27,5.18
2179,23,Pisani 1,7,25-1,one,20,040810am,17.25,55.93,0.38,261,800,29.21,263,34.04,15.50,1424,58.68,111.17,12.25,49.07,9.21,2.31,9.54,0.95,6.62,1.19,3.49,0.55,3.27,0.59,6.09,2.31,47.96,22.92,6.78
2180,23,Pisani 1,7,25-1,one,20,040810am,11.89,55.93,0.32,283,811,28.74,253,34.95,15.39,1343,58.35,104.31,12.01,45.66,9.73,1.60,7.34,0.89,6.80,1.35,2.83,0.54,3.20,0.48,6.25,2.01,51.33,21.20,6.32
2181,23,Pisani 1,7,25-1,one,20,040810am,9.61,55.93,0.37,280,761,27.85,229,30.81,14.97,1331,53.41,102.09,12.24,39.04,9.59,2.31,8.01,0.99,6.35,1.15,2.21,0.37,2.79,0.28,5.44,1.68,51.70,19.30,5.93
2182,23,Pisani 1,7,25-1,one,20,040810am,11.10,55.93,0.32,276,797,31.96,254,33.77,15.97,1437,56.82,110.83,12.93,51.38,12.93,1.48,9.19,1.12,7.95,1.25,4.43,0.45,3.08,0.27,5.97,2.10,54.36,22.40,6.36
2183,23,Pisani 1,7,25-1,one,20,040810am,13.16,55.93,0.33,259,790,29.20,242,31.08,13.93,1366,56.23,105.72,11.61,46.86,11.01,2.36,9.11,0.82,7.18,1.46,3.12,0.72,3.52,0.65,6.69,1.57,49.02,20.03,6.06
2184,23,Pisani 1,7,25-1,one,20,040810am,12.86,55.93,0.31,302,891,29.96,253,40.13,17.48,1576,63.02,142.81,13.65,51.82,9.66,2.78,9.46,1.23,5.64,1.17,3.13,0.57,2.92,0.53,5.69,2.46,69.75,23.65,7.64
2185,23,Pisani 1,7,25-1,one,20,040810am,15.25,55.93,0.31,272,851,31.39,251,36.83,14.72,1482,60.16,112.52,13.29,55.87,7.70,2.60,8.62,1.18,7.24,1.18,2.90,0.54,2.41,0.49,5.55,2.34,50.33,22.24,6.68
2186,23,Pisani 1,7,25-1,one,20,040810am,15.86,55.93,0.37,277,909,34.59,272,38.30,15.54,1520,65.40,138.26,13.67,54.59,9.46,2.78,10.16,1.49,6.84,1.57,3.29,0.28,3.52,0.54,7.00,2.43,56.60,24.95,7.36
2187,23,Pisani 1,7,25-1,one,20,040810am,15.22,55.93,0.34,278,826,30.06,238,35.95,14.78,1500,58.74,112.52,11.52,50.83,9.36,1.82,7.53,1.13,8.45,1.03,3.40,0.55,2.57,0.54,5.69,2.34,81.20,21.70,6.69
2188,23,Pisani 1,7,25-1,one,20,040810am,7.82,55.93,0.33,286,803,32.04,235,32.00,16.47,1336,56.20,105.66,11.59,51.05,9.80,2.18,7.57,0.73,5.73,1.31,3.16,0.54,2.87,0.70,6.66,1.98,66.12,19.49,27.39
2189,23,Pisani 1,7,25,one,20,030810pm,9.39,55.93,0.35,246,722,28.58,238,36.13,13.11,1184,58.95,107.79,12.29,51.67,10.65,2.32,8.40,1.09,6.09,1.10,3.36,0.41,2.86,0.47,6.12,2.34,44.07,23.00,6.11
2190,23,Pisani 1,7,25,one,20,030810pm,12.08,55.93,0.37,256,756,32.63,253,40.39,13.93,1226,63.06,113.26,12.94,54.40,9.25,2.43,8.82,1.08,7.10,1.29,4.33,0.44,3.48,0.49,5.01,2.18,41.24,23.02,6.21
2191,23,Pisani 1,7,25,one,20,030810pm,7.74,55.93,0.37,276,853,31.39,249,34.57,14.30,1430,61.99,100.60,12.50,46.67,10.49,2.49,6.48,1.24,5.05,1.26,2.71,0.38,2.24,0.40,4.37,2.50,43.90,20.82,4.91
2192,23,Pisani 1,7,25,one,20,030810pm,15.18,55.93,0.36,270,872,29.81,242,36.85,14.53,1444,61.79,107.89,12.05,47.81,8.79,2.36,8.40,0.97,5.50,0.97,3.46,0.49,2.76,0.39,5.16,2.10,44.39,22.25,5.61
2193,23,Pisani 1,7,25,one,20,030810pm,12.39,55.93,0.34,251,871,26.47,228,32.10,14.25,1482,55.32,104.67,11.62,43.56,9.03,1.77,6.54,0.72,6.18,1.05,2.13,0.43,2.57,0.49,5.23,1.64,42.67,19.97,5.27
2194,23,Pisani 1,7,25,one,20,030810pm,7.10,55.93,0.34,244,865,29.39,254,38.76,13.40,1507,67.59,108.97,13.50,50.56,8.79,1.77,5.99,1.18,5.43,1.34,4.41,0.54,2.58,0.41,5.05,2.09,65.44,24.91,6.54
2195,23,Pisani 1,7,25,one,20,030810pm,8.50,55.93,0.38,252,877,33.67,264,37.30,14.50,1449,66.44,115.03,14.38,58.11,10.05,2.46,8.92,0.95,6.06,1.23,3.76,0.36,3.18,0.63,5.78,2.12,78.89,24.10,6.37
2196,23,Pisani 1,7,25,one,20,030810pm,11.78,55.93,0.28,277,743,26.35,227,34.77,15.29,1299,54.61,96.25,11.65,45.29,7.02,1.51,7.95,0.90,3.98,0.92,2.69,1.30,2.82,0.32,4.78,1.69,44.28,21.22,5.78
2197,23,Pisani 1,7,25,one,20,030810pm,16.29,55.93,0.33,325,861,27.70,225,34.63,19.18,1481,62.65,116.72,13.34,50.02,8.87,2.31,7.31,0.96,6.03,0.90,2.58,0.45,2.89,0.42,5.12,2.19,,22.77,7.19
2198,23,Pisani 1,7,25,one,20,030810pm,16.65,55.93,0.38,287,901,28.08,244,37.99,16.24,1557,64.64,114.32,13.04,47.79,10.74,2.03,7.62,1.13,5.62,1.11,3.25,0.49,2.57,0.39,5.24,2.59,51.23,23.96,6.49
2199,23,Pisani 1,7,25,one,20,030810pm,15.50,55.93,0.37,253,929,37.40,254,34.14,13.96,1526,72.11,115.65,17.04,60.40,10.96,2.20,10.33,1.26,6.76,1.48,3.49,0.53,3.93,0.87,5.47,1.95,46.56,22.35,5.76
2200,23,Pisani 1,7,25,one,20,030810pm,12.13,55.93,0.41,260,867,28.82,227,32.96,14.35,1375,56.25,103.47,12.01,47.60,6.92,1.81,6.88,0.88,5.87,1.06,2.69,0.44,2.54,0.46,5.75,1.80,45.11,20.53,5.76
2201,23,Pisani 1,7,25,one,20,030810pm,8.83,55.93,0.27,339,754,26.15,218,34.04,16.24,1310,56.47,103.88,11.71,48.63,10.20,1.59,6.88,1.30,5.27,1.02,2.93,0.40,2.44,0.34,5.69,1.79,85.17,20.56,6.38
2202,19,Soccavo 4,8,4-1,one,20,040810am,11.50,59.09,0.18,286,986,25.01,246,46.86,15.44,2028,57.11,109.45,11.24,42.80,7.42,2.16,5.99,0.77,5.48,0.79,2.35,0.32,2.54,0.50,5.66,2.47,49.97,23.94,7.23
2203,19,Soccavo 4,8,4-1,one,20,040810am,8.75,59.09,0.20,365,660,28.18,278,39.46,20.41,1198,63.16,106.91,11.18,45.97,7.40,2.11,5.82,0.96,4.96,0.87,2.78,0.45,2.29,0.49,5.77,2.58,49.51,25.69,7.28
2204,19,Soccavo 4,8,4-1,one,20,040810am,11.92,59.09,0.28,308,697,29.06,284,44.31,17.81,1305,66.95,108.12,12.75,50.96,8.19,2.19,7.68,0.98,5.99,1.28,2.74,0.40,3.25,0.61,4.91,2.37,46.11,27.85,7.63
2205,19,Soccavo 4,8,4-1,one,20,040810am,9.38,59.09,0.23,290,668,28.21,273,37.54,17.24,1190,58.29,104.60,11.37,38.04,10.99,1.21,5.65,0.71,5.44,0.92,2.79,0.10,3.94,0.53,6.60,2.25,42.40,25.25,7.36
2206,19,Soccavo 4,8,4-1,one,20,040810am,10.02,59.09,0.21,351,722,28.90,288,42.83,17.88,1527,67.41,119.77,12.91,42.95,10.84,1.49,7.66,0.66,5.92,0.93,3.16,0.68,2.64,0.32,5.79,2.29,56.05,26.93,7.43
2207,19,Soccavo 4,8,4-1,one,20,040810am,12.27,59.09,0.18,310,706,28.27,275,41.24,18.18,1243,60.22,108.41,11.26,46.59,8.17,2.07,7.40,0.96,5.30,0.78,2.34,0.42,3.36,0.52,5.90,2.24,48.21,25.36,7.06
2208,19,Soccavo 4,8,4-1,one,20,040810am,13.22,59.09,0.27,301,640,28.47,287,42.69,18.37,1121,66.86,113.42,12.58,44.48,8.69,2.36,6.75,0.88,5.20,1.19,3.56,0.45,2.63,0.48,6.20,3.01,45.68,28.11,7.35
2209,19,Soccavo 4,8,4-1,one,20,040810am,13.80,59.09,0.20,316,658,30.55,304,44.60,17.31,1169,69.58,120.94,13.39,45.85,8.96,1.62,8.18,1.04,5.34,1.25,3.52,0.33,2.94,0.43,7.39,2.37,62.23,28.48,7.55
2210,19,Soccavo 4,8,4-1,one,20,040810am,15.51,59.09,0.22,300,774,28.54,288,43.06,16.85,1455,62.56,111.13,12.64,44.12,8.05,2.21,7.34,1.11,4.13,0.95,3.18,0.48,2.86,0.49,6.51,2.24,49.75,26.38,7.58
2211,19,Soccavo 4,8,4-1,one,20,040810am,11.94,59.09,0.20,296,792,33.11,305,41.67,17.36,1365,70.67,119.50,13.26,49.72,12.71,2.21,7.95,1.11,4.77,0.90,3.29,0.49,3.42,0.49,5.97,3.06,55.54,28.36,7.86
2212,19,Soccavo 4,8,4-1,one,20,040810am,14.31,59.09,0.20,309,721,26.30,267,41.30,19.29,1300,62.17,111.87,12.46,41.37,8.41,2.15,6.78,0.72,4.64,0.99,2.42,0.30,3.27,0.56,6.79,2.30,70.47,24.97,7.38
2213,19,Soccavo 4,8,4-1,one,20,040810am,8.27,59.09,0.16,294,777,32.45,305,44.31,17.54,1401,69.18,118.96,13.96,50.49,9.04,1.94,8.54,1.33,5.92,1.17,3.22,0.55,3.41,0.67,7.04,2.36,45.58,27.39,6.51
2214,19,Soccavo 4,8,4-1,one,20,040810am,10.55,59.09,0.30,294,693,27.17,266,41.37,18.01,1268,59.81,110.25,12.31,44.40,8.31,1.86,6.08,0.77,6.14,1.22,3.07,0.45,2.43,0.40,6.60,2.69,56.08,24.30,6.92
2215,19,Soccavo 4,8,4-1,one,20,040810am,10.89,59.09,0.18,314,695,27.08,268,40.64,17.12,1356,60.52,114.70,12.69,47.94,9.51,2.09,8.52,0.74,6.30,1.32,2.76,0.31,3.22,0.43,6.72,2.12,36.43,23.84,7.36
